id,title,year,status,imdb_id,tmdb_id,tmdb_media_type,match_confidence,match_method,fields_filled,fields_expanded,conflict_count,review_note_count,source_count,validation_status,validation_messages
all-the-brothers-were-valiant-1953,All the Brothers Were Valiant,1953,Review required,tt0045494,91419,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; writers,1,1,2,Valid,
amistad-1997,Amistad,1997,Enriched,tt0118607,11831,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
aquaman-2018,Aquaman,2018,Enriched,tt1477834,297802,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
around-the-world-under-the-sea-1966,Around the World Under the Sea,1966,Enriched,tt0060126,26158,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
assault-on-the-wayne-1971,Assault on the Wayne,1971,Review required,tt0065431,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
atlantic-convoy-1942,Atlantic Convoy,1942,Review required,tt0034480,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
away-with-the-sails-instructional-film-1936,Away With The Sails (instructional film),1936,Unmatched,,,,Unmatched,,,,0,1,0,Valid,
battle-of-the-coral-sea-1959,Battle of the Coral Sea,1959,Review required,tt0052606,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
battle-stations-1956,Battle Stations,1956,Review required,tt0048989,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
battleship-2012,Battleship,2012,Enriched,tt1440129,44833,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
battleship-potemkin-1925,Battleship Potemkin,1925,Review required,tt0015648,643,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; writers,1,1,2,Valid,
bear-island-1979,Bear Island,1979,Enriched,tt0078836,38629,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
below-2002,Below,2002,Review required,tt0276816,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
beneath-the-12-mile-reef-1953,Beneath the 12-Mile Reef,1953,Enriched,tt0045551,22734,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; writers,0,0,2,Valid,
billy-budd-1962,Billy Budd,1962,Review required,tt0055796,5334,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,1,1,2,Valid,
black-sea-2014,Black Sea,2014,Review required,tt2261331,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
black-sea-2015,Black Sea,2015,Review required,tt2261331,246080,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,1,1,2,Valid,
blood-vessel-2020,Blood Vessel,2020,Enriched,tt8009938,618585,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
britannic-2000,Britannic,2000,Enriched,tt0190281,59709,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
captain-horatio-hornblower-1951,Captain Horatio Hornblower,1951,Enriched,tt0043379,23928,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
captain-kidd-1945,Captain Kidd,1945,Review required,tt0037576,15401,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,1,1,2,Valid,
captain-nemo-and-the-underwater-city-1969,Captain Nemo and the Underwater City,1969,Enriched,tt0065522,56354,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
captain-phillips-2013,Captain Phillips,2013,Review required,tt1535109,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
captain-ron-1992,Captain Ron,1992,Enriched,tt0103924,14361,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
captain-roughneck-from-st-pauli-1971,Captain Roughneck from St. Pauli,1971,Review required,tt0067319,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
china-seas-1935,China Seas,1935,Review required,tt0026205,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
close-quarters-1943,Close Quarters,1943,Enriched,tt0221880,830669,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,genres; writers,0,0,2,Valid,
corvette-k-225-1943,Corvette K-225,1943,Enriched,tt0035757,177751,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; directors; genres; languages; writers,0,0,2,Valid,
counter-measures-1998,Counter Measures,1998,Enriched,tt0150209,29895,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
crash-dive-1943,Crash Dive,1943,Review required,tt0035763,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
crash-dive-1996,Crash Dive,1996,Review required,tt0115965,160019,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,1,1,2,Valid,
crimson-tide-1995,Crimson Tide,1995,Enriched,tt0112740,8963,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; writers,0,0,2,Valid,
cutthroat-island-1995,Cutthroat Island,1995,Review required,tt0112760,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
damn-the-defiant-1962,Damn the Defiant,1962,Review required,tt0055884,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
dangerous-crossing-1953,Dangerous Crossing,1953,Enriched,tt0045669,36330,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; writers,0,0,2,Valid,
das-boot-1981,Das Boot,1981,Review required,tt0082096,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
dead-calm-1989,Dead Calm,1989,Review required,tt0097162,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
death-on-the-nile-2022,Death on the Nile,2022,Review required,tt7657566,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
death-ship-1980,Death Ship,1980,Enriched,tt0080603,31703,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
deep-rising-1998,Deep Rising,1998,Review required,tt0118956,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
deep-waters-1948,Deep Waters,1948,Enriched,tt0040281,36336,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; languages; writers,0,0,2,Valid,
deepwater-horizon-2016,Deepwater Horizon,2016,Review required,tt1860357,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
depth-charge-2008,Depth Charge,2008,Review required,tt1192384,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
destroyer-1943,Destroyer,1943,Enriched,tt0035800,98404,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; directors; genres; languages; writers,0,0,2,Valid,
devil-and-the-deep-1932,Devil and the Deep,1932,Enriched,tt0022814,81037,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; writers,0,0,2,Valid,
down-to-the-sea-in-ships-1922,Down to the Sea in Ships,1922,Review required,tt0013085,175593,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; writers,1,1,2,Valid,
down-to-the-sea-in-ships-1949,Down to the Sea in Ships,1949,Enriched,tt0041313,164073,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; writers,0,0,2,Valid,
drifters-1929,Drifters,1929,Enriched,tt0019838,174892,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,countries; languages; studios,0,0,2,Valid,
dunkirk-1958,Dunkirk,1958,Review required,tt0051565,17720,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; writers,1,1,2,Valid,
ebb-tide-1922,Ebb Tide,1922,Enriched,tt0013095,910566,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; writers,0,0,2,Valid,
ebb-tide-1937,Ebb Tide,1937,Enriched,tt0028817,245229,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; genres; languages; writers,0,0,2,Valid,
fire-down-below-1957,Fire Down Below,1957,Enriched,tt0050397,56188,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; writers,0,0,2,Valid,
flat-top-1952,Flat Top,1952,Review required,tt0044621,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
fury-at-smugglers-bay-1961,Fury at Smugglers Bay,1961,Enriched,tt0057085,239400,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
ghost-of-the-china-sea-1958,Ghost of the China Sea,1958,Review required,tt0051653,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
ghost-ship-2002,Ghost Ship,2002,Review required,tt0288477,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
ghosts-of-amistad-2014,Ghosts of Amistad,2014,Unmatched,,,,Unmatched,,,,0,1,0,Valid,
gods-of-the-deep-2024,Gods of the Deep,2024,Review required,tt13316770,854887,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,1,1,2,Valid,
going-under-1990,Going Under,1990,Enriched,tt0099675,169953,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
gorgo-1961,Gorgo,1961,Enriched,tt0054938,40804,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; writers,0,0,2,Valid,
gray-lady-down-1977,Gray Lady Down,1977,Enriched,tt0077629,31948,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
harbinger-down-2015,Harbinger Down,2015,Enriched,tt3397918,296130,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
hell-and-high-water-1954,Hell and High Water,1954,Enriched,tt0047073,23097,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; writers,0,0,2,Valid,
hell-below-zero-1954,Hell Below Zero,1954,Review required,tt0047072,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
hell-boats-1970,Hell Boats,1970,Enriched,tt0065825,99356,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; studios; writers,0,0,2,Valid,
hellcats-of-the-navy-1957,Hellcats of the Navy,1957,Enriched,tt0050500,82181,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
heweliusz-2025,Heweliusz,2025,Review required,tt32253092,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
high-seas-2019,High Seas,2019,Enriched,tt8961508,88239,tv,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; directors; genres; languages; writers,0,0,2,Valid,
hostile-waters-1997,Hostile Waters,1997,Enriched,,2131,movie,High,Exact TMDB title/year,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; writers,0,0,1,Valid,
houseboat-1958,Houseboat,1958,Enriched,tt0051745,1377,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; writers,0,0,2,Valid,
humanoids-from-the-deep-1980,Humanoids from the Deep,1980,Enriched,tt0080904,29343,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; directors; genres; languages; writers,0,0,2,Valid,
hunter-killer-2018,Hunter Killer,2018,Enriched,tt1846589,399402,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
in-pursuit-of-the-graf-spee-1956,In Pursuit of the Graf Spee,1956,Unmatched,,,,Unmatched,,,,0,1,0,Valid,
in-the-heart-of-the-sea-2015,In the Heart of the Sea,2015,Enriched,tt1390411,205775,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
in-which-we-serve-1942,In Which We Serve,1942,Enriched,tt0034891,28093,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
into-the-deep-2022,Into the Deep,2022,Review required,tt11005128,948333,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,1,1,2,Valid,
it-came-from-beneath-the-sea-1955,It Came from Beneath the Sea,1955,Enriched,tt0048215,29959,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; writers,0,0,2,Valid,
jaws-1975,Jaws,1975,Enriched,tt0073195,578,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
juggernaut-1974,Juggernaut,1974,Review required,tt0071706,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
k-19-the-widowmaker-2002,K-19: The Widowmaker,2002,Review required,tt0267626,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
krakatoa-east-of-java-1969,"Krakatoa, East of Java",1969,Enriched,tt0064555,51104,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
kursk-2018,Kursk,2018,Review required,tt4951982,401200,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,1,1,2,Valid,
last-breath-2019,Last Breath,2019,Review required,tt9056818,570973,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,1,1,2,Valid,
last-breath-2025,Last Breath,2025,Enriched,tt14403504,972533,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
last-resort-2012,Last Resort,2012,Review required,tt2172103,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
leviathan-1989,Leviathan,1989,Enriched,tt0097737,14372,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
life-of-pi-2012,Life of Pi,2012,Review required,tt0454876,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
lifeboat-1944,Lifeboat,1944,Review required,tt0037017,13321,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; writers,1,1,2,Valid,
long-john-silver-1954,Long John Silver,1954,Review required,tt0047189,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
long-john-silvers-return-to-treasure-island-1954,Long John Silver’s Return to Treasure Island,1954,Review required,tt0047189,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
lord-jim-1965,Lord Jim,1965,Enriched,tt0059399,11387,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
lost-island-2018,Lost Island,2018,Review required,tt13668114,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
lusitania-murder-on-the-atlantic-tv-movie-1998,Lusitania: Murder on the Atlantic (TV Movie),1998,Unmatched,,,,Unmatched,,,,0,1,0,Valid,
master-and-commander-the-far-side-of-the-world-2003,Master and Commander: The Far Side of the World,2003,Enriched,tt0311113,8619,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
men-without-women-1930,Men Without Women,1930,Enriched,tt0021140,166643,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; writers,0,0,2,Valid,
middle-passage-2001,Middle Passage,2001,Unmatched,,,,Unmatched,,,,0,1,0,Valid,
middle-passage-le-passage-du-milieu-2001,Middle Passage (Le Passage du Milieu),2001,Unmatched,,,,Unmatched,,,,0,1,0,Valid,
midway-1976,Midway,1976,Review required,tt0074899,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
mission-of-the-shark-the-saga-of-the-uss-indianapolis-tv-movie-1991,Mission of the Shark: The Saga of the USS Indianapolis (TV Movie),1991,Unmatched,,,,Unmatched,,,,0,1,0,Valid,
mister-roberts-1955,Mister Roberts,1955,Review required,tt0048380,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
moby-dick-1930,Moby Dick,1930,Enriched,tt0021149,177214,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
moby-dick-1956,Moby Dick,1956,Review required,tt0049513,10339,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,1,1,2,Valid,
moby-dick-1998,Moby Dick,1998,Enriched,tt0120756,31010,tv,High,Exact title/year confirmed by director,original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
moby-dick-2010,Moby Dick,2010,Review required,tt1694508,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
moby-dick-2011,Moby Dick,2011,Enriched,tt1334573,39803,tv,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; directors; genres; languages; studios; writers,0,0,2,Valid,
morituri-1965,Morituri,1965,Review required,tt0059470,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
morning-departure-1950,Morning Departure,1950,Review required,tt0042810,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
mr-roberts-1955,Mr. Roberts,1955,Review required,tt0048380,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
murphy-s-war-1971,Murphy's War,1971,Enriched,tt0067458,35068,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
mutiny-1952,Mutiny,1952,Review required,tt0044936,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
mutiny-on-the-bounty-1935,Mutiny on the Bounty,1935,Enriched,tt0026752,12311,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
mutiny-on-the-bounty-1962,Mutiny on the Bounty,1962,Review required,tt0056264,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
narvik-2022,Narvik,2022,Enriched,tt9737876,619930,movie,High,Exact TMDB title/year,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
north-sea-1938,North Sea,1938,Review required,tt0151775,129366,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,1,1,2,Valid,
north-sea-hijack-1980,North Sea Hijack,1980,Review required,tt0081809,390253,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,1,1,2,Valid,
nowhere-2023,Nowhere,2023,Review required,tt15789472,1151534,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,1,1,2,Valid,
o-descobrimento-do-brasil-1937,O Descobrimento do Brasil,1937,Review required,tt0028780,194710,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; writers,1,1,2,Valid,
on-the-beach-1959,On the Beach,1959,Enriched,tt0053137,35412,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
on-the-beach-tv-movie-2000,On the Beach (TV Movie),2000,Unmatched,,,,Unmatched,,,,0,1,0,Valid,
on-the-waterfront-1954,On the Waterfront,1954,Enriched,tt0047296,654,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; writers,0,0,2,Valid,
operation-mekong-2016,Operation Mekong,2016,Review required,tt6044910,415214,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; directors; genres; languages; studios; writers,1,1,2,Valid,
operation-pacific-1951,Operation Pacific,1951,Review required,tt0043887,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
operation-petticoat-1959,Operation Petticoat,1959,Review required,tt0053143,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
operation-seawolf-2022,Operation Seawolf,2022,Review required,tt13429928,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
pacific-destiny-1956,Pacific Destiny,1956,Review required,tt0049588,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
passage-to-marseilles-1944,Passage to Marseilles,1944,Unmatched,,,,Unmatched,,,,0,1,0,Valid,
phantom-2013,Phantom,2013,Review required,tt3088580,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
piper-pixar-short-2016,Piper (Pixar short),2016,Unmatched,,,,Unmatched,,,,0,1,0,Valid,
pirates-of-the-caribbean-the-curse-of-the-black-pearl-2003,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Review required,tt0325980,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
plymouth-adventure-1952,Plymouth Adventure,1952,Review required,tt0045039,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
poseidon-2006,Poseidon,2006,Review required,tt0409182,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
pq-17-1980,PQ 17,1980,Unmatched,,,,Unmatched,,,,0,1,0,Valid,
pt-109-1963,PT 109,1963,Review required,tt0057393,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
pt-109-1963-2,PT-109,1963,Enriched,tt0057393,27858,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
pursuit-of-the-graf-spee-1956,Pursuit of the Graf Spee,1956,Review required,tt0048990,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
reap-the-wild-wind-1942,Reap the Wild Wind,1942,Review required,tt0035244,63617,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; writers,1,1,2,Valid,
rendezvous-with-death-1950,Rendezvous with Death,1950,Unmatched,,,,Unmatched,,,,0,1,0,Valid,
return-to-treasure-island-1954,Return to Treasure Island,1954,Review required,tt0047406,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
riddle-of-the-sands-1979,Riddle of the Sands,1979,Unmatched,,,,Unmatched,,,,0,1,0,Valid,
robinson-crusoe-1954,Robinson Crusoe,1954,Review required,tt0044386,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
romance-on-the-high-seas-1948,Romance on the High Seas,1948,Review required,tt0040745,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
run-silent-run-deep-1958,"Run Silent, Run Deep",1958,Enriched,tt0052151,18784,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
sailor-of-the-king-1953,Sailor of the King,1953,Review required,tt0046267,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
satan-s-triangle-1975,Satan's Triangle,1975,Enriched,tt0073662,87895,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; writers,0,0,2,Valid,
sea-devils-1953,Sea Devils,1953,Enriched,tt0046286,128048,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; writers,0,0,2,Valid,
sea-fury-1929,Sea Fury,1929,Review required,tt0020379,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
sea-fury-1958,Sea Fury,1958,Review required,tt0052170,284765,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,1,1,2,Valid,
